question,answer
"What do you think about reading?","Reading expands knowledge and imagination!"
"Do you have any study hacks?","Yes! Use flashcards, mind maps, and teach others!"
"What's the best way to take notes?","Use bullet points, highlight key ideas, and review them!"
"Can you tell me a riddle?","Sure! What has to be broken before you can use it? (An egg!)"
"Why were you created?","To help students with learning and education-related questions!"
"How do I reset my student portal password?","Visit the IT helpdesk or use the password reset option on the student portal."
"Where can I check my class schedule?","Your class schedule is available on the student portal."
"How do I apply for a student ID?","Apply through the administration office or online portal."
"Can I take online courses at the university?","Yes, check your university’s e-learning platform for available courses."
"Where can I find my student email login details?","Your student email details are provided during registration."
"What should I do if I lose my student ID?","Report it to the student affairs office and apply for a replacement."
"Where is the campus library located?","The main library is in the central academic block."
"Can I access free WiFi on campus?","Yes, log in using your student credentials."
"How do I report a lost item on campus?","Report it to the lost-and-found desk or campus security."
"How do I register for courses?","Log in to the student portal and follow the registration steps."
"Can I change my course after registration?","Yes, but within the allowed period and with approval from your department."
"Where do I find course descriptions?","Check the university website or course catalog."
"How many courses can I take per semester?","It depends on your program; check with your academic advisor."
"What happens if I miss the registration deadline?","You may have to pay a late registration fee or defer the semester."
"How do I withdraw from a course?","Submit a course withdrawal form before the deadline."
"Can I take extra courses?","Yes, but you may need approval from your academic advisor."
"Where do I find past examination papers?","They are available in the university library and online portal."
"How do I change my major?","Speak to your academic advisor and submit a change of major request."
"Are there elective courses available?","Yes, elective courses are listed in the course catalog."
"How are my final grades calculated?","Grades are based on assignments, exams, and participation."
"What should I do if I fail a course?","You may need to retake the course in the next semester."
"Where can I check my grades?","Log in to the student portal to view your grades."
"Can I request a re-evaluation of my exam?","Yes, submit a formal re-evaluation request."
"What is the minimum passing grade?","It depends on your university’s grading system."
"How do I prepare for final exams?","Review lecture notes, attend revision sessions, and use past papers."
"Can I request a makeup exam?","Yes, if you have a valid reason and approval from your lecturer."
"How do I apply for academic transcripts?","Submit a request through the registrar’s office."
"What happens if I miss an exam?","You may need to provide a valid excuse and apply for a deferred exam."
"Where can I find exam timetables?","Exam schedules are posted on the student portal."
"How do I pay my tuition fees?","Use online banking, mobile payment, or pay at the university finance office."
"Can I get a payment plan for tuition?","Yes, check with the finance office for available options."
"Where do I apply for scholarships?","Scholarship applications are available on the university website."
"What happens if I don’t pay my fees on time?","You may be restricted from registering for courses."
"Can I get a refund if I drop a course?","Refund policies vary, so check with the finance office."
"What is the deadline for fee payments?","Check the academic calendar for fee payment deadlines."
"Are there work-study programs available?","Yes, apply through the student employment office."
"How do I check my fee balance?","Log in to the student finance portal."
"Can international students apply for scholarships?","Yes, there are scholarships for international students."
"Where can I find financial aid application forms?","Forms are available in the financial aid office."
"Where can I find financial aid application forms?","Forms are available in the financial aid office."
"Where is the main library located?","The main library is located in Building A."
"Where is the campus gym located?","The campus gym is located in Building B."
"Where is the student cafeteria located?","The student cafeteria is located in Building C."
"Where is the science laboratory located?","The science laboratory is located in Building D."
"Where is Lecture Hall 1 located?","Lecture Hall 1 is located in Building E."
"Where is the student residence hall located?","The student residence hall is located in Building F."
"Where is the health clinic located?","The health clinic is located in Building G."
"Where is the auditorium located?","The auditorium is located in Building H."
"Where is the computer lab located?","The computer lab is located in Building I."
"Where is the recreation center located?","The recreation center is located in Building J."
"What is the deadline for undergraduate applications?","The deadline for undergraduate applications is March 1 2025."
"How can I contact the admissions office?","You can contact the admissions office via email at admissions@university.edu."
"What are the office hours for the main library?","The main library is open from 8 AM to 10 PM Monday to Friday."
"Who is the instructor for CS101?","The instructor for CS101 is Dr. John Doe."
"What is the contact information for Dr. Alan Turing?","Dr. Alan Turing can be contacted via email at aturing@university.edu or by phone at 111-222-3333."
"When does the fall semester start?","The fall semester starts on August 25 2025."
"What is the process for applying to graduate programs?","The process for applying to graduate programs includes submitting a bachelor's degree GRE scores a personal statement and letters of recommendation."
"Where is the campus gym located?","The campus gym is located in Building B."
"What are the office hours for Prof. Jane Smith?","Prof. Jane Smith's office hours are Tuesday and Thursday from 10 AM to 12 PM."
"provide a summary?","iot means thta." 
"timing of university","University is open from 8am-5pm Monday-Saturday!"
"what is university timing","University is open from 8am-5pm Monday-Saturday!"
"when are you guys open","University is open from 8am-5pm Monday-Saturday!"
"what are your hours","University is open from 8am-5pm Monday-Saturday!"
"hours of operation","University is open from 8am-5pm Monday-Saturday!"
"when is the university open","University is open from 8am-5pm Monday-Saturday!"
"university timing","University is open from 8am-5pm Monday-Saturday!"
"what about university timing","University is open from 8am-5pm Monday-Saturday!"
"tell something about university timing","University is open from 8am-5pm Monday-Saturday!"
"what is the university hours","University is open from 8am-5pm Monday-Saturday!"
"when should i come to university","University is open from 8am-5pm Monday-Saturday!"
"when should i attend university","University is open from 8am-5pm Monday-Saturday!"
"what is my university time","University is open from 8am-5pm Monday-Saturday!"
"timing university","University is open from 8am-5pm Monday-Saturday!"
"working days","University is open from 8am-5pm Monday-Saturday!"
"is university open on saturday","University is open from 8am-5pm Monday-Saturday!"
"What is the schedule for classes?","University timings is very flexible, it depends on the course you are taking. However, we are open from 8am-5pm Monday-Saturday!"
"How long is the university open on weekends?","University is open from 8am-5pm Monday-Saturday!"
"Are there any specific hours for the university's administrative offices?","University is open from 8am-5pm Monday-Saturday!"
"What time does the university close?","University is open from 8am-5pm Monday-Saturday!"
"Are there any specific hours for the library?","Library is open from 8am-5pm Monday-Saturday!"
"What time does the library close?","Library is open from 8am-5pm Monday-Saturday!"
"Is there any difference in library hours during holidays or breaks?","Library is open from 8am-5pm Monday-Saturday!"
"is there any library","You can visit the library from 8am-5pm Monday-Saturday!"
"library facility","You can visit the library from 8am-5pm Monday-Saturday!"
"library facilities","You can visit the library from 8am-5pm Monday-Saturday!"
"do you have library","You can visit the library from 8am-5pm Monday-Saturday!"
"does the college have library facility","There is one huge and spacious library. Timings are 8am to 5pm and for more details visit <a target=\"blank\" href=\"https://presidencyuniversity.in/facility/library/\">here</a>"
"college library","Library is open from 8am-5pm Monday-Saturday!"
"where can i get books","Library is open from 8am-5pm Monday-Saturday!"
"book facility","Library is open from 8am-5pm Monday-Saturday!"
"Where is library","Library is open from 8am-5pm Monday-Saturday!"
"Library","Library is open during college hours and is closed on Sundays!"
"Library information","Library is open during college hours and is closed on Sundays!"
"Library books information","Library is open during college hours and is closed on Sundays!"
"Tell me about library","There is one huge and spacious library. Timings are 8am to 5pm and for more details visit <a target=\"blank\" href=\"https://presidencyuniversity.in/facility/library/\">here</a>"
"How many libraries does the college have?","There is one huge and spacious library. Timings are 8am to 5pm and for more details visit <a target=\"blank\" href=\"https://presidencyuniversity.in/facility/library/\">here</a>"
"how many libraries","There is one huge and spacious library. Timings are 8am to 5pm and for more details visit <a target=\"blank\" href=\"https://presidencyuniversity.in/facility/library/\">here</a>"
"library timings","Library is open from 8am-5pm Monday-Saturday!"
"pattern","response"
"where is the university located","The university is located on the Kericho-Nakuru highway."
"university address","The university is located on the Kericho-Nakuru highway."
"location of the university","The university is located on the Kericho-Nakuru highway."
"how to find the university","The university is located on the Kericho-Nakuru highway."
"university location","The university is located on the Kericho-Nakuru highway."
"address of the university","The university is located on the Kericho-Nakuru highway."
"how do I get to the university","The university is located on the Kericho-Nakuru highway."
